Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 18 07:44:34 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/oracle/board/attn/attn12-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         I_AXI_DMA_REG_MODULE                           |                               design_1_dma0_0_axi_dma_reg_module |        167 |        167 |       0 |    0 |   331 |      0 |      0 |    0 |          0 |
|         I_PRMRY_DATAMOVER                              |                                    design_1_dma0_0_axi_datamover |       1828 |       1678 |      10 |  140 |  2554 |     10 |      2 |    0 |          0 |
|     dma1                                               |                                                  design_1_dma1_0 |       2062 |       1912 |      10 |  140 |  3120 |     10 |      2 |    0 |          0 |
|       U0                                               |                                          design_1_dma1_0_axi_dma |       2062 |       1912 |      10 |  140 |  3120 |     10 |      2 |    0 |          0 |
|         INCLUDE_MM2S_SOF_EOF_GENERATOR.I_MM2S_DMA_MNGR |                                design_1_dma1_0_axi_dma_mm2s_mngr |         15 |         15 |       0 |    0 |    84 |      0 |      0 |    0 |          0 |
|         INCLUDE_S2MM_SOF_EOF_GENERATOR.I_S2MM_DMA_MNGR |                                design_1_dma1_0_axi_dma_s2mm_mngr |         32 |         32 |       0 |    0 |   112 |      0 |      0 |    0 |          0 |
|         I_AXI_DMA_REG_MODULE                           |                               design_1_dma1_0_axi_dma_reg_module |        166 |        166 |       0 |    0 |   331 |      0 |      0 |    0 |          0 |
|         I_PRMRY_DATAMOVER                              |                                    design_1_dma1_0_axi_datamover |       1830 |       1680 |      10 |  140 |  2555 |     10 |      2 |    0 |          0 |
|     dma2                                               |                                                  design_1_dma2_0 |       2059 |       1909 |      10 |  140 |  3114 |     10 |      2 |    0 |          0 |
|       U0                                               |                                          design_1_dma2_0_axi_dma |       2059 |       1909 |      10 |  140 |  3114 |     10 |      2 |    0 |          0 |
|         INCLUDE_MM2S_SOF_EOF_GENERATOR.I_MM2S_DMA_MNGR |                                design_1_dma2_0_axi_dma_mm2s_mngr |         16 |         16 |       0 |    0 |    84 |      0 |      0 |    0 |          0 |
|         INCLUDE_S2MM_SOF_EOF_GENERATOR.I_S2MM_DMA_MNGR |                                design_1_dma2_0_axi_dma_s2mm_mngr |         32 |         32 |       0 |    0 |   112 |      0 |      0 |    0 |          0 |
|         I_AXI_DMA_REG_MODULE                           |                               design_1_dma2_0_axi_dma_reg_module |        166 |        166 |       0 |    0 |   331 |      0 |      0 |    0 |          0 |
|         I_PRMRY_DATAMOVER                              |                                    design_1_dma2_0_axi_datamover |       1827 |       1677 |      10 |  140 |  2549 |     10 |      2 |    0 |          0 |
|     dma3                                               |                                                  design_1_dma3_0 |       2063 |       1913 |      10 |  140 |  3116 |     10 |      2 |    0 |          0 |
|       U0                                               |                                          design_1_dma3_0_axi_dma |       2063 |       1913 |      10 |  140 |  3116 |     10 |      2 |    0 |          0 |
