Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 11 01:09:47 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/bitnet-kv260/hardware/trit19-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|       inst                                             |                               design_1_eng1_0_ternary_matvec_axi |       3977 |       3974 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|         engine                                         |                                   design_1_eng1_0_ternary_matvec |       3967 |       3964 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|     eng2                                               |                                                  design_1_eng2_0 |       3945 |       3942 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|       inst                                             |                               design_1_eng2_0_ternary_matvec_axi |       3945 |       3942 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|         engine                                         |                                   design_1_eng2_0_ternary_matvec |       3935 |       3932 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|     eng3                                               |                                                  design_1_eng3_0 |       4024 |       4021 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|       inst                                             |                               design_1_eng3_0_ternary_matvec_axi |       4024 |       4021 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|         engine                                         |                                   design_1_eng3_0_ternary_matvec |       4014 |       4011 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|     gdma                                               |                                                  design_1_gdma_0 |       2024 |       1874 |      10 |  140 |  3054 |     10 |      2 |    0 |          0 |
|       U0                                               |                                          design_1_gdma_0_axi_dma |       2024 |       1874 |      10 |  140 |  3054 |     10 |      2 |    0 |          0 |
|         INCLUDE_MM2S_SOF_EOF_GENERATOR.I_MM2S_DMA_MNGR |                                design_1_gdma_0_axi_dma_mm2s_mngr |         16 |         16 |       0 |    0 |    84 |      0 |      0 |    0 |          0 |
|         INCLUDE_S2MM_SOF_EOF_GENERATOR.I_S2MM_DMA_MNGR |                                design_1_gdma_0_axi_dma_s2mm_mngr |         32 |         32 |       0 |    0 |   112 |      0 |      0 |    0 |          0 |
|         I_AXI_DMA_REG_MODULE                           |                               design_1_gdma_0_axi_dma_reg_module |        166 |        166 |       0 |    0 |   331 |      0 |      0 |    0 |          0 |
|         I_PRMRY_DATAMOVER                              |                                    design_1_gdma_0_axi_datamover |       1793 |       1643 |      10 |  140 |  2489 |     10 |      2 |    0 |          0 |
|     ggpio_a                                            |                                               design_1_ggpio_a_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                      design_1_ggpio_a_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                     design_1_ggpio_a_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                 design_1_ggpio_a_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     ggpio_b                                            |                                               design_1_ggpio_b_0 |         63 |         63 |       0 |    0 |   222 |      0 |      0 |    0 |          0 |
|       U0                                               |                                      design_1_ggpio_b_0_axi_gpio |         63 |         63 |       0 |    0 |   222 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                     design_1_ggpio_b_0_GPIO_Core |          2 |          2 |       0 |    0 |   130 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                 design_1_ggpio_b_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     glue                                               |                                                  design_1_glue_0 |       2467 |       2243 |      80 |  144 |  5557 |      0 |      0 |    0 |          0 |
|       inst                                             |                                 design_1_glue_0_ternary_glue_axi |       2467 |       2243 |      80 |  144 |  5557 |      0 |      0 |    0 |          0 |
|         glue                                           |                                     design_1_glue_0_ternary_glue |       2467 |       2243 |      80 |  144 |  5557 |      0 |      0 |    0 |          0 |
|     gmem                                               |                                                  design_1_gmem_0 |       2125 |       1552 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_gmem_0_bd_1a62 |       2125 |       1552 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                    design_1_gmem_0_m00_exit_pipeline_imp_14VORK7 |        284 |        278 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                            design_1_gmem_0_m00_nodes_imp_1I7KKVF |        657 |        374 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                    design_1_gmem_0_s00_entry_pipeline_imp_4KNUYS |        293 |        293 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                             design_1_gmem_0_s00_nodes_imp_1LNAFY |        269 |        133 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
|         s01_entry_pipeline                             |                   design_1_gmem_0_s01_entry_pipeline_imp_12L1QOG |        263 |        262 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                            design_1_gmem_0_s01_nodes_imp_16E6SQ0 |        349 |        203 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                          design_1_gmem_0_switchboards_imp_UKQSUI |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     gpio0                                              |                                                 design_1_gpio0_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio0_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio0_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio0_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     gpio1                                              |                                                 design_1_gpio1_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio1_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio1_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio1_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     gpio2                                              |                                                 design_1_gpio2_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio2_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio2_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio2_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     gpio3                                              |                                                 design_1_gpio3_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio3_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio3_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio3_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     grsi                                               |                                                  design_1_grsi_0 |        106 |        106 |       0 |    0 |   202 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_grsi_0_axis_register_slice_v1_1_35_axis_register_slice |        106 |        106 |       0 |    0 |   202 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_grsi_0_axis_register_slice_v1_1_35_axisc_register_slice |        105 |        105 |       0 |    0 |   201 |      0 |      0 |    0 |          0 |
|     grso                                               |                                                  design_1_grso_0 |         46 |         46 |       0 |    0 |    80 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_grso_0_axis_register_slice_v1_1_35_axis_register_slice |         46 |         46 |       0 |    0 |    80 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_grso_0_axis_register_slice_v1_1_35_axisc_register_slice |         45 |         45 |       0 |    0 |    79 |      0 |      0 |    0 |          0 |
|     mem0                                               |                                                  design_1_mem0_0 |       2128 |       1555 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_mem0_0_bd_c310 |       2128 |       1555 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                     design_1_mem0_0_m00_exit_pipeline_imp_GOT2MZ |        283 |        277 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                             design_1_mem0_0_m00_nodes_imp_TZJG6V |        659 |        376 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                   design_1_mem0_0_s00_entry_pipeline_imp_1H0GSYG |        294 |        294 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
